Value,Feature
0.16306414,D0_useCMSFrame_p
0.1224609,D0_chiProb
0.060831457,D0_significanceOfDistance
0.052149933,D0_flightDistance
0.045051314,D0_cos_decayAngle_2
0.04376951,D0_useCMSFrame_E
0.042096145,D0_cos_decayAngle_0
0.037680082,D0_cos_decayAngle_3
0.031014971,K_Ch3_kaonID
0.028775234,D0_cos_decayAngle_1
0.028765844,K_Ch3_abs_dz
0.025382759,D0_flightDistanceErr
0.02446601,D0_decayAngle_2
0.022673925,D0_pt
0.02177474,D0_flightTime
0.01861655,D0_flightTimeErr
0.015863072,K_Ch3_cos_theta
0.014684832,D0_daughterInvM_2_3
0.014006904,D0_daughterInvM_1_2
0.013466786,D0_decayAngle_0
0.013292449,D0_decayAngle_3
0.012620655,K_Ch3_pt
0.012491285,D0_decayAngle_1
0.012008365,D0_useAlternativeDaughterHypothesis_M_1_K
0.010992178,D0_daughterInvM_0_3
0.0103133535,K_Ch3_abs_dr
0.009408631,D0_daughterInvM_0_1
0.008431923,D0_daughterInvM_1_3
0.008104248,D0_daughterAngle_0_1
0.007759356,K_Ch3_theta
0.0071053714,K_Ch3_E
0.006929031,D0_daughterInvM_0_2
0.005903919,K_Ch3_ndf
0.005042824,K_Ch3_dz
0.0044701262,D0_cos_theta
0.0039573,K_Ch3_pz
0.0034169315,D0_p
0.003338951,K_Ch3_pValue
0.0031266187,K_Ch3_abs_pz
0.0029304626,D0_E
0.002743125,K_Ch3_z0
0.002720605,D0_abs_pz
0.002516852,D0_pz
0.0024597864,K_Ch3_omega
0.0023513893,D0_px
0.0023157778,K_Ch3_d0
0.0023056662,K_Ch3_px
0.0021961788,K_Ch3_py
0.002151525,D0_py
0.0,K_Ch3_p
0.0,K_Ch3_dr
