Value,Feature
0.18707886,D0_useCMSFrame_p
0.09089779,pi0_Ch2_pt
0.07872788,D0_flightDistanceErr
0.07728378,D0_daughterAngle_0_1
0.07519101,D0_flightDistance
0.07175866,D0_daughterInvM_0_2
0.053523306,D0_daughterInvM_1_2
0.052262954,K_Ch2_kaonID
0.04872591,D0_cos_decayAngle_0
0.045707304,pi_Ch2_pt
0.043915804,D0_chiProb
0.041354183,pi_Ch2_dr
0.033860467,D0_daughterInvM_0_1
0.03158821,D0_cos_decayAngle_1
0.025938036,K_Ch2_dr
0.022797344,K_Ch2_pt
0.009828669,D0_momentaTripleProduct_0_1_2
0.009559795,pi_Ch2_pionID
